epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.144,0.50131,3.20262,0.80399,0.00333,1,0.995,0.97333,0.27853,3.18876,0.77939,2e-05,2e-05,2e-05
2,6.23424,0.38296,2.34563,0.77664,0.00333,1,0.995,0.90992,0.34363,3.16474,0.78423,5.8812e-05,5.8812e-05,5.8812e-05
3,9.26446,0.53443,2.46172,0.74325,0.00333,1,0.995,0.84117,0.40731,3.0852,0.77814,9.604e-05,9.604e-05,9.604e-05
4,12.3888,0.65577,2.20259,0.76975,0.00333,1,0.995,0.8257,0.57473,3.07089,0.77427,0.000131684,0.000131684,0.000131684
5,15.5225,0.63924,2.20939,0.8103,0.88257,1,0.995,0.77125,0.74541,3.0505,0.77163,0.000165744,0.000165744,0.000165744
6,18.4473,0.74534,1.84993,0.84735,0.88257,1,0.995,0.77125,0.74541,3.0505,0.77163,0.00019822,0.00019822,0.00019822
7,21.454,0.84946,1.7871,0.86867,0.96459,1,0.995,0.767,0.88594,2.92005,0.8006,0.000229112,0.000229112,0.000229112
8,24.3008,0.71372,1.57217,0.81879,0.95756,1,0.995,0.77108,0.72935,2.59733,0.8063,0.00025842,0.00025842,0.00025842
9,27.3063,0.55505,2.07994,0.78665,0.95756,1,0.995,0.77108,0.72935,2.59733,0.8063,0.000286144,0.000286144,0.000286144
10,30.2014,0.66329,1.5532,0.84745,0.96056,1,0.995,0.70767,0.82535,2.45511,0.82453,0.000312284,0.000312284,0.000312284
11,33.1809,0.55274,3.15044,0.8415,0.96056,1,0.995,0.70767,0.82535,2.45511,0.82453,0.00033684,0.00033684,0.00033684
12,36.5064,0.56461,1.86539,0.85831,0.93507,1,0.995,0.59844,0.9608,2.60995,0.83788,0.000359812,0.000359812,0.000359812
13,39.6919,0.79254,1.71645,0.83904,0.93507,1,0.995,0.59844,0.9608,2.60995,0.83788,0.0003812,0.0003812,0.0003812
14,42.662,0.56425,1.48312,0.7923,0.93507,1,0.995,0.59844,0.9608,2.60995,0.83788,0.000401004,0.000401004,0.000401004
15,46.1174,0.61774,1.93496,0.83258,1,0.9495,0.995,0.74496,0.5615,2.83238,0.79624,0.000419224,0.000419224,0.000419224
16,49.1581,0.52706,1.08603,0.86194,1,0.9495,0.995,0.74496,0.5615,2.83238,0.79624,0.00043586,0.00043586,0.00043586
17,52.3268,0.51281,1.25992,0.80892,1,0.9495,0.995,0.74496,0.5615,2.83238,0.79624,0.000450912,0.000450912,0.000450912
18,55.7026,0.69348,1.35455,0.83461,0.00333,1,0.995,0.81317,0.67586,2.95647,0.80703,0.00046438,0.00046438,0.00046438
19,58.9973,0.91025,1.54027,0.96583,0.00333,1,0.995,0.81317,0.67586,2.95647,0.80703,0.000476264,0.000476264,0.000476264
20,62.1155,0.78547,1.17997,0.82046,0.00333,1,0.995,0.81317,0.67586,2.95647,0.80703,0.000486564,0.000486564,0.000486564
21,65.4446,0.58205,1.58244,0.79258,0.00333,1,0.995,0.88492,0.59,2.97004,0.81378,0.00049528,0.00049528,0.00049528
22,68.6111,0.6498,1.54835,0.90317,0.00333,1,0.995,0.88492,0.59,2.97004,0.81378,0.000502412,0.000502412,0.000502412
23,71.7575,0.6465,1.33327,0.90411,0.00333,1,0.995,0.88492,0.59,2.97004,0.81378,0.00050796,0.00050796,0.00050796
24,75.2378,0.63045,1.34792,0.82155,0.00333,1,0.995,0.88492,0.59,2.97004,0.81378,0.000511924,0.000511924,0.000511924
25,78.3775,0.62312,1.59843,0.8923,0.97171,1,0.995,0.9089,0.46923,2.68433,0.80165,0.000514304,0.000514304,0.000514304
26,81.6855,0.56439,1.90911,0.87768,0.97171,1,0.995,0.9089,0.46923,2.68433,0.80165,0.0005151,0.0005151,0.0005151
27,84.9391,0.6157,1.39325,0.99329,0.97171,1,0.995,0.9089,0.46923,2.68433,0.80165,0.000514312,0.000514312,0.000514312
28,88.0739,0.60579,1.40685,0.87264,0.97171,1,0.995,0.9089,0.46923,2.68433,0.80165,0.00051194,0.00051194,0.00051194
29,91.3243,0.59009,1.30812,0.8172,0.97171,1,0.995,0.9089,0.46923,2.68433,0.80165,0.000507984,0.000507984,0.000507984
30,94.5973,0.62088,1.35471,0.88156,0.95935,1,0.995,0.9554,0.3525,2.28313,0.79404,0.000502444,0.000502444,0.000502444
31,98.032,0.41611,1.4119,0.85454,0.95935,1,0.995,0.9554,0.3525,2.28313,0.79404,0.00049532,0.00049532,0.00049532
32,101.186,0.44675,1.03953,0.83119,0.95935,1,0.995,0.9554,0.3525,2.28313,0.79404,0.000486612,0.000486612,0.000486612
33,104.511,0.48188,1.27182,0.78566,0.95935,1,0.995,0.9554,0.3525,2.28313,0.79404,0.00047632,0.00047632,0.00047632
34,107.86,0.44262,0.98038,0.85891,0.95935,1,0.995,0.9554,0.3525,2.28313,0.79404,0.000464444,0.000464444,0.000464444
