epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72877,0.55831,1.28848,0.7736,0.00333,1,0.995,0.8596,0.44376,2.8215,0.7674,2e-05,2e-05,2e-05
2,5.39654,0.50233,1.18764,0.88304,0.00333,1,0.995,0.90525,0.34412,2.6648,0.78738,5.802e-05,5.802e-05,5.802e-05
3,8.01041,0.40864,1.47185,0.78971,0.74956,1,0.995,0.90525,0.36898,2.54432,0.80516,9.34e-05,9.34e-05,9.34e-05
4,10.7465,0.45607,1.27392,0.75761,0.99364,1,0.995,0.8955,0.49458,2.49402,0.81058,0.00012614,0.00012614,0.00012614
5,13.1931,0.63181,1.57343,0.7999,0.96913,1,0.995,0.8455,0.58476,2.51168,0.82848,0.00015624,0.00015624,0.00015624
6,15.7275,0.53636,1.49153,0.79519,0.96913,1,0.995,0.8455,0.58476,2.51168,0.82848,0.0001837,0.0001837,0.0001837
7,18.2654,0.6136,1.17796,0.77496,0.94941,1,0.995,0.8955,0.54981,2.4906,0.82275,0.00020852,0.00020852,0.00020852
8,20.6603,0.58121,1.51512,0.79097,0.95465,1,0.995,0.8675,0.50048,2.5293,0.80144,0.0002307,0.0002307,0.0002307
9,23.096,0.51316,1.12754,0.76822,0.95465,1,0.995,0.8675,0.50048,2.5293,0.80144,0.00025024,0.00025024,0.00025024
10,25.7277,0.50934,1.35115,0.95285,1,0.91238,0.995,0.8793,0.41225,2.62055,0.78704,0.00026714,0.00026714,0.00026714
11,28.0385,0.34226,1.63445,0.6429,1,0.91238,0.995,0.8793,0.41225,2.62055,0.78704,0.0002814,0.0002814,0.0002814
12,30.6135,0.59573,1.0655,0.76612,1,0.89476,0.995,0.95,0.35696,2.63118,0.77927,0.00029302,0.00029302,0.00029302
13,32.9802,0.54662,1.20387,0.77232,1,0.89476,0.995,0.95,0.35696,2.63118,0.77927,0.000302,0.000302,0.000302
14,35.4756,0.53216,1.17408,0.80419,1,0.89476,0.995,0.95,0.35696,2.63118,0.77927,0.00030834,0.00030834,0.00030834
15,38.0433,0.21718,4.54084,0.4545,1,0.8666,0.995,0.95,0.32748,2.66261,0.77159,0.00031204,0.00031204,0.00031204
16,40.7496,0.49712,1.49693,0.85464,1,0.8666,0.995,0.95,0.32748,2.66261,0.77159,0.0003131,0.0003131,0.0003131
17,43.5262,0.49636,1.09258,0.78803,1,0.8666,0.995,0.95,0.32748,2.66261,0.77159,0.00031152,0.00031152,0.00031152
18,46.1546,0.45176,1.09391,0.74939,0.97409,1,0.995,0.967,0.33887,2.35727,0.76887,0.0003073,0.0003073,0.0003073
19,48.931,0.49929,1.26474,0.90207,0.97409,1,0.995,0.967,0.33887,2.35727,0.76887,0.00030044,0.00030044,0.00030044
20,51.752,0.45903,0.89233,0.78002,0.97409,1,0.995,0.967,0.33887,2.35727,0.76887,0.00029094,0.00029094,0.00029094
21,54.6243,0.40395,1.36869,0.71828,0.98599,1,0.995,0.963,0.35995,1.87498,0.7658,0.0002788,0.0002788,0.0002788
22,57.3542,0.37381,1.33453,0.80131,0.98599,1,0.995,0.963,0.35995,1.87498,0.7658,0.00026402,0.00026402,0.00026402
23,60.177,0.48781,1.23036,0.84281,0.98599,1,0.995,0.963,0.35995,1.87498,0.7658,0.0002466,0.0002466,0.0002466
24,62.9993,0.33878,1.37491,0.89548,0.98599,1,0.995,0.963,0.35995,1.87498,0.7658,0.00022654,0.00022654,0.00022654
25,65.6841,0.41911,1.36007,0.82292,0.98621,1,0.995,0.9312,0.37589,1.68466,0.76386,0.00020384,0.00020384,0.00020384
26,68.245,0.37432,1.33776,0.90314,0.98621,1,0.995,0.9312,0.37589,1.68466,0.76386,0.0001785,0.0001785,0.0001785
27,71.1409,0.48936,1.4037,0.75818,0.98621,1,0.995,0.9312,0.37589,1.68466,0.76386,0.00015052,0.00015052,0.00015052
28,73.8228,0.30459,1.44302,0.68588,0.98621,1,0.995,0.9312,0.37589,1.68466,0.76386,0.0001199,0.0001199,0.0001199
29,76.5798,0.35406,1.26078,0.8085,0.98621,1,0.995,0.9312,0.37589,1.68466,0.76386,8.664e-05,8.664e-05,8.664e-05
30,79.3404,0.42599,1.27595,0.79459,0.98925,1,0.995,0.9312,0.36766,1.51139,0.76227,5.074e-05,5.074e-05,5.074e-05
